point_index,frequency_index,frequency_hz,x_index,y_index,static_status,deflection_amplitude_m,deflection_fitted_frequency_hz,deflection_phase_rad,deflection_dc_m,deflection_residual_norm_m,indentation_amplitude_m,indentation_fitted_frequency_hz,indentation_phase_rad,indentation_dc_m,indentation_residual_norm_m,position_z_amplitude_m,position_z_fitted_frequency_hz,position_z_phase_rad,position_z_dc_m,position_z_residual_norm_m,vea_status,deflection_status,indentation_status,position_z_status,failure_reason
8,2,1581.13883008419,8,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
8,3,2811.706625951747,8,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
8,4,5000.000000000004,8,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
9,0,499.99999999999983,9,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
9,1,889.1397050194613,9,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
9,2,1581.13883008419,9,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
9,3,2811.706625951747,9,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
9,4,5000.000000000004,9,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
10,0,499.99999999999983,10,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
10,1,889.1397050194613,10,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
